State, Candidate Number, Money (R$ Reais), Votes
BA , 4020 , 2440.00 , 555
BA , 1300 , 2932987.83 , 125862
BA , 5070 , 250.00 , 0
BA , 1963 , 4058.00 , 5410
BA , 5076 , 250.00 , 96
BA , 3651 , 2651.36 , 348
BA , 5500 , 1225075.56 , 72013
BA , 1222 , 10546.64 , 1299
BA , 2525 , 0.00 , 4153
BA , 1111 , 1606582.40 , 169215
BA , 1777 , 23990.73 , 6268
BA , 2526 , 1813487.01 , 110662
BA , 2521 , 0.00 , 0
BA , 1770 , 2000.00 , 811
BA , 5580 , 283281.26 , 83658
BA , 2522 , 2484714.23 , 89118
BA , 3122 , 0.00 , 0
BA , 2529 , 8180.34 , 4850
BA , 3169 , 0.00 , 0
BA , 5059 , 250.00 , 80
BA , 7007 , 0.00 , 0
BA , 2806 , 0.00 , 228
BA , 2244 , 1313858.59 , 16694
BA , 2014 , 12934.20 , 341
BA , 2012 , 248930.84 , 74836
BA , 5065 , 250.00 , 0
BA , 1700 , 41748.52 , 4978
BA , 4467 , 2000.00 , 1216
BA , 5066 , 2618.50 , 684
BA , 1313 , 1136899.76 , 125159
BA , 1312 , 653282.39 , 98871
BA , 1311 , 474633.13 , 50681
BA , 1310 , 797416.80 , 123284
BA , 2851 , 0.00 , 10
BA , 2707 , 0.00 , 420
BA , 2855 , 31610.00 , 5095
BA , 4333 , 1669.40 , 4900
BA , 3333 , 14401.52 , 2512
BA , 7047 , 1448.00 , 88
BA , 4567 , 2854345.51 , 117671
BA , 5030 , 700.00 , 633
BA , 3133 , 0.00 , 0
BA , 5511 , 0.00 , 1768
BA , 5512 , 87922.81 , 56206
BA , 2550 , 0.00 , 364
BA , 2552 , 994621.22 , 88334
BA , 2555 , 3521015.65 , 101924
BA , 4012 , 43608.57 , 0
BA , 6565 , 1402311.44 , 135382
BA , 1393 , 0.00 , 151
BA , 2315 , 4000.00 , 51
BA , 4400 , 20449.50 , 34124
BA , 1418 , 0.00 , 163
BA , 1559 , 99811.02 , 47
BA , 4080 , 161606.75 , 0
BA , 4480 , 0.00 , 290
BA , 5007 , 0.00 , 21
BA , 1410 , 1293129.63 , 159840
BA , 5089 , 6363.90 , 1330
BA , 1567 , 250.00 , 0
BA , 5188 , 0.00 , 0
BA , 2066 , 41604.60 , 6643
BA , 1322 , 484708.98 , 114965
BA , 2288 , 1877675.64 , 111643
BA , 5012 , 2886.90 , 2288
BA , 5014 , 250.00 , 156
BA , 5015 , 4624.75 , 844
BA , 5002 , 2049.40 , 399
BA , 4321 , 601.00 , 660
BA , 1540 , 161770.58 , 0
BA , 1122 , 13816.87 , 3246
BA , 1123 , 1082853.63 , 110822
BA , 9090 , 368925.70 , 46555
BA , 2777 , 0.00 , 427
BA , 3166 , 0.00 , 0
BA , 3678 , 2172.00 , 0
BA , 2828 , 0.00 , 200
BA , 2829 , 1200.00 , 444
BA , 2825 , 0.00 , 68
BA , 4555 , 2896604.49 , 120479
BA , 7014 , 900.00 , 1781
BA , 4550 , 7358.40 , 426
BA , 4044 , 15539.89 , 2746
BA , 5099 , 2536.43 , 2512
BA , 5055 , 2838.40 , 844
BA , 2540 , 0.00 , 254
BA , 4040 , 425488.27 , 21959
BA , 3663 , 2172.00 , 0
BA , 2544 , 820.00 , 1935
BA , 6510 , 1256847.30 , 65171
BA , 2300 , 221741.99 , 36779
BA , 9088 , 1518.40 , 9
BA , 2789 , 0.00 , 583
BA , 5095 , 250.00 , 0
BA , 4411 , 269.90 , 175
BA , 5132 , 0.00 , 176
BA , 3621 , 400.00 , 0
BA , 1526 , 0.00 , 136
BA , 4477 , 132152.72 , 12882
BA , 1250 , 14402.47 , 694
BA , 7733 , 3124.00 , 75
BA , 1388 , 2158.40 , 0
BA , 1400 , 5979037.10 , 71372
BA , 1010 , 147108.25 , 117470
BA , 1012 , 177134.59 , 116912
BA , 1013 , 1448.00 , 1042
BA , 1234 , 1204070.16 , 130583
BA , 2323 , 0.00 , 633
BA , 5000 , 1180.00 , 2735
BA , 1230 , 13925.77 , 1165
BA , 1231 , 7696.72 , 1560
BA , 5005 , 15229.50 , 4781
BA , 1233 , 320159.12 , 28276
BA , 1133 , 17816.67 , 6960
BA , 1334 , 191046.84 , 31503
BA , 5009 , 250.00 , 82
BA , 1336 , 186338.93 , 56507
BA , 1331 , 254454.67 , 63624
BA , 1330 , 90838.40 , 55636
BA , 1333 , 7314.54 , 3945
BA , 2514 , 3220.01 , 1320
BA , 3151 , 0.00 , 0
BA , 7027 , 0.00 , 138
BA , 7025 , 30460.00 , 4857
BA , 7789 , 2124.00 , 318
BA , 4355 , 3528.40 , 1476
BA , 4545 , 3798218.31 , 108476
BA , 5121 , 0.00 , 183
BA , 5122 , 800.00 , 391
BA , 5123 , 78027.06 , 11624
BA , 5112 , 800.00 , 0
BA , 4055 , 31261.25 , 901
BA , 5088 , 250.00 , 0
BA , 4048 , 10616.12 , 1080
BA , 2040 , 22704.41 , 2056
BA , 1932 , 0.00 , 0
BA , 5577 , 461799.22 , 105776
BA , 2577 , 725321.12 , 13245
BA , 5081 , 270.30 , 854
BA , 5087 , 250.00 , 61
BA , 2570 , 349269.66 , 55170
BA , 3677 , 0.00 , 144
BA , 2757 , 17700.00 , 0
BA , 1535 , 0.00 , 0
BA , 1533 , 36100.00 , 4694
BA , 2727 , 4744.00 , 1971
BA , 2811 , 0.00 , 222
BA , 1350 , 419905.35 , 64265
BA , 2050 , 1100.00 , 0
BA , 2830 , 0.00 , 174
BA , 1000 , 284020.08 , 23017
BA , 3610 , 1028.00 , 531
BA , 5010 , 2850.00 , 1035
BA , 2299 , 400.00 , 37
BA , 3613 , 0.00 , 1140
BA , 7788 , 239679.36 , 56230
BA , 5011 , 0.00 , 575
BA , 3619 , 2172.00 , 0
BA , 5033 , 44995.15 , 3528
BA , 1346 , 1580826.97 , 111252
